Timestep,function
690000,6.8118e-07
691000,9.15895e-08
692000,2.58598e-07
693000,3.47687e-07
694000,4.24717e-07
695000,1.7376e-07
696000,1.73699e-07
697000,1.76149e-07
698000,7.54348e-07
699000,2.58882e-07
700000,2.55433e-07
701000,1.72622e-07
702000,4.2146e-07
703000,5.01688e-07
704000,5.04352e-07
705000,1.71106e-07
706000,1.74087e-07
707000,3.33441e-07
708000,4.17226e-07
709000,1.71343e-07
710000,3.33913e-07
711000,1.71697e-07
712000,1.70329e-07
713000,3.39137e-07
714000,5.75992e-07
715000,4.93995e-07
716000,4.9245e-07
717000,3.29224e-07
718000,1.69179e-07
719000,4.11131e-07
720000,8.54637e-08
721000,8.66055e-08
722000,1.69123e-07
723000,4.08316e-07
724000,8.25554e-09
725000,4.05153e-07
726000,4.06946e-07
727000,8.67951e-08
728000,4.07121e-07
729000,1.65368e-07
730000,4.05585e-07
731000,3.23773e-07
732000,3.24007e-07
733000,2.45519e-07
734000,1.6367e-07
735000,5.60567e-07
736000,5.5723e-07
737000,5.54105e-07
738000,2.42742e-07
739000,8.45731e-08
740000,4.81682e-07
741000,5.54154e-07
742000,2.43637e-07
743000,1.63368e-07
744000,3.95702e-07
745000,2.41314e-07
746000,2.38146e-07
747000,2.39631e-07
748000,3.93447e-07
749000,3.93357e-07
750000,4.70299e-07
751000,5.46263e-07
752000,3.926e-07
753000,1.6026e-07
754000,3.1462e-07
755000,4.67863e-07
756000,4.68177e-07
757000,4.67203e-07
758000,2.35935e-07
759000,2.36039e-07
760000,4.65898e-07
761000,2.34171e-07
762000,3.11359e-07
763000,2.34785e-07
764000,3.85657e-07
765000,3.09442e-07
766000,3.84802e-07
767000,8.1119e-08
768000,3.83626e-07
769000,1.58468e-07
770000,3.07192e-07
771000,3.07591e-07
772000,6.08373e-07
773000,3.06384e-07
774000,2.32505e-07
775000,3.04081e-07
776000,2.32471e-07
777000,3.04458e-07
778000,2.30313e-07
779000,1.54829e-07
780000,1.55222e-07
781000,9.52956e-09
782000,2.29106e-07
783000,3.89517e-07
784000,8.08733e-08
785000,2.33893e-07
786000,3.00755e-07
787000,3.75426e-07
788000,2.33946e-07
789000,1.53628e-07
790000,1.73909e-07
791000,2.25968e-07
792000,5.28478e-07
793000,4.45525e-07
794000,2.26569e-07
795000,8.19965e-08
796000,2.23981e-07
797000,2.31521e-07
798000,2.97801e-07
799000,2.26814e-07
800000,2.95784e-07
801000,2.24967e-07
802000,4.40095e-07
803000,3.67098e-07
804000,3.70005e-07
805000,2.93274e-07
806000,2.30487e-07
807000,5.82023e-07
808000,3.6812e-07
809000,3.636e-07
810000,2.20316e-07
