Timestep,function
745000,0.00359558
746000,0.00355313
747000,0.00358009
748000,0.00588597
749000,0.00589248
750000,0.00705448
751000,0.00820486
752000,0.00590471
753000,0.00241351
754000,0.00474446
755000,0.00706472
756000,0.00707884
757000,0.00707345
758000,0.00357678
759000,0.00358308
760000,0.00708164
761000,0.00356409
762000,0.00474511
763000,0.00358281
764000,0.00589284
765000,0.00473446
766000,0.00589516
767000,0.00124437
768000,0.0058925
769000,0.00243724
770000,0.00473076
771000,0.00474305
772000,0.00939328
773000,0.0047367
774000,0.00359918
775000,0.00471326
776000,0.00360795
777000,0.00473127
778000,0.00358366
779000,0.00241223
780000,0.00242146
781000,0.000148852
782000,0.00358321
783000,0.00609984
784000,0.00126809
785000,0.00367211
786000,0.00472787
787000,0.00590921
788000,0.00368699
789000,0.00242426
790000,0.00274776
791000,0.00357482
792000,0.0083711
793000,0.00706602
794000,0.00359792
795000,0.00130374
796000,0.00356577
797000,0.00369044
798000,0.0047529
799000,0.00362448
800000,0.00473255
801000,0.00360397
802000,0.00705912
803000,0.00589559
804000,0.00594967
805000,0.00472172
806000,0.00371546
807000,0.00939385
808000,0.00594882
809000,0.00588305
810000,0.00356912
811000,0.00587489
812000,0.00587919
813000,0.0059076
814000,0.00471914
815000,0.0059038
816000,0.0059023
817000,0.00481895
818000,0.0024075
819000,0.00473096
820000,0.00473656
821000,0.00357531
822000,0.0070826
823000,0.00474681
824000,0.0116762
825000,0.00587322
826000,0.00358255
827000,0.00587515
828000,0.00242087
829000,0.00472092
830000,0.00590268
831000,0.00477243
832000,0.00125249
833000,0.00241451
834000,0.00704062
835000,0.00358705
836000,0.0024111
837000,0.00241401
838000,0.00821542
839000,0.00475671
840000,0.00482424
841000,0.00124485
842000,0.00243048
843000,0.00591257
844000,0.00473812
845000,0.00360624
846000,0.002395
847000,0.00708467
848000,0.00587575
849000,0.00359208
850000,0.0070459
851000,0.0035725
852000,0.00358083
853000,0.00590051
854000,0.00359173
855000,0.00588398
856000,0.00245588
857000,0.00591001
858000,0.00472889
859000,0.00243469
860000,0.00589789
861000,0.00475825
862000,0.0012518
863000,0.00473964
864000,0.00703564
865000,0.00471636
866000,0.00705982
867000,0.00126722
868000,0.00825212
869000,9.40934e-05
870000,0.00126104
871000,0.00588437
872000,0.00359267
873000,0.00243902
874000,0.00241369
875000,0.00244975
876000,0.00589523
877000,0.00593808
878000,0.00356177
879000,0.00126109
